,Labels
138,regular cardiac myocyte
139,endothelial cell of coronary artery
140,skeletal muscle tissue
141,skin of body
142,frontal cortex
143,camera-type eye
144,dermis lymphatic vessel endothelial cell
145,smooth muscle cell of the umbilical artery
146,tracheal epithelial cell
147,smooth muscle cell of trachea
148,renal cortical epithelial cell
149,dermis blood vessel endothelial cell
150,heart
151,thyroid gland
152,urinary bladder
153,temporal lobe
154,uterine smooth muscle cell
155,epithelial cell of umbilical artery
156,smooth muscle cell of the pulmonary artery
157,smooth muscle cell of bladder
158,bladder microvascular endothelial cell
159,uterus
160,GM12878
161,Universal_Human_Reference
162,H1_Cell_Line
163,H1_BMP4_Derived_Mesendoderm_Cultured_Cells
164,H1_BMP4_Derived_Trophoblast_Cultured_Cells
165,H1_Derived_Mesenchymal_Stem_Cells
166,H1_Derived_Neuronal_Progenitor_Cultured_Cells
167,hESC_Derived_CD184+_Endoderm_Cultured_Cells
168,hESC_Derived_CD56+_Ectoderm_Cultured_Cells
169,hESC_Derived_CD56+_Mesoderm_Cultured_Cells
170,HUES64_Cell_Line
171,4star
172,Breast_Myoepithelial_Cells
173,Breast_vHMEC
174,CD4_Memory_Primary_Cells
175,CD4_Naive_Primary_Cells
176,CD8_Naive_Primary_Cells
177,Mobilized_CD34_Primary_Cells_Female
178,Neurosphere_Cultured_Cells_Cortex_Derived
179,Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
180,Penis_Foreskin_Fibroblast_Primary_Cells_skin01
181,Penis_Foreskin_Fibroblast_Primary_Cells_skin02
182,Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
183,Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
184,Penis_Foreskin_Melanocyte_Primary_Cells_skin01
185,Penis_Foreskin_Melanocyte_Primary_Cells_skin03
186,Peripheral_Blood_Mononuclear_Primary_Cells
187,Aorta
188,Adult_Liver
189,Brain_Germinal_Matrix
190,Brain_Hippocampus_Middle
191,Esophagus
192,Fetal_Brain_Female
193,Fetal_Intestine_Large
194,Fetal_Intestine_Small
195,Pancreatic_Islets
196,Gastric
197,Left_Ventricle
198,Lung.1
199,Ovary.1
200,Pancreas.1
201,Psoas_Muscle
202,Right_Atrium
203,Right_Ventricle
204,Sigmoid_Colon
205,Small_Intestine
206,Thymus
207,Spleen.1
208,A549
209,GM12878.1
210,HELA
211,HEPG2
212,HMEC
213,HSMM
214,HUVEC
215,K562.1
216,NHEK
217,NHLF
